ticker,company_name,sector,talk_intensity_score,walk_weakness_score,integrity_weakness_score,cross_source_contradiction_score,final_inconsistency_index,index_percentile,review_priority_tier,explanation
EFX,"Equifax, Incorporated",Industrials,1.0,0.7416,0.9553,0.2392,0.7994,1.0,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
WFC,Wells Fargo & Co.,Financial Services,0.6887,0.9896,0.9222,0.2735,0.7634,0.9961,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
NRG,"Nrg Energy, Inc.",Utilities,0.9144,0.8875,0.716,0.1864,0.7574,0.9922,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
MMM,3m Company,Industrials,0.6809,0.9202,0.9864,0.2783,0.7534,0.9883,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
WYNN,Wynn Resorts Ltd,Consumer Cyclical,0.9261,0.7697,0.8463,0.1354,0.7446,0.9844,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
CVX,Chevron Corporation,Energy,0.7938,0.8023,0.9553,0.1574,0.7332,0.9805,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
ATO,Atmos Energy Corporation,Utilities,0.8872,0.8716,0.4533,0.4263,0.7266,0.9767,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence; requires further ESG due diligence."
OXY,Occidental Petroleum Corporation,Energy,0.6615,1.0,0.716,0.3148,0.7219,0.9728,High priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
CB,Chubb Limited,Financial Services,0.9883,0.7206,0.3696,0.5374,0.7166,0.9689,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
CNP,"Centerpoint Energy, Inc.",Utilities,0.9805,0.7068,0.4533,0.4567,0.7144,0.965,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence; requires further ESG due diligence."
DLTR,Dollar Tree Inc.,Consumer Defensive,0.8638,0.4889,0.9767,0.4422,0.7107,0.9611,High priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
DVN,Devon Energy Corporation,Energy,0.8677,0.7209,0.8463,0.1374,0.7098,0.9572,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
CTRA,Coterra Energy Inc.,Energy,0.821,0.8826,0.5389,0.3174,0.7075,0.9533,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence; requires further ESG due diligence."
PNW,Pinnacle West Capital Corporation,Utilities,0.8911,0.7989,0.4533,0.3997,0.7022,0.9455,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence; requires further ESG due diligence."
NDSN,Nordson Corp,Industrials,0.9922,0.6133,0.5389,0.4211,0.7022,0.9494,High priority,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
AVGO,Broadcom Inc.,Technology,0.93,0.4538,0.8463,0.4403,0.6969,0.9416,High priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
CMS,Cms Energy Corporation,Utilities,0.9183,0.2915,0.9553,0.646,0.6968,0.9377,High priority,"Flagged for high ESG disclosure intensity, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
ITW,Illinois Tool Works Inc.,Industrials,0.9339,0.6079,0.716,0.2876,0.6955,0.9339,High priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
XOM,Exxon Mobil Corporation,Energy,0.3502,0.97,0.9222,0.5973,0.6876,0.93,High priority,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
FTV,Fortive Corporation,Technology,0.6654,0.9494,0.6109,0.3148,0.6871,0.9261,High priority,Flagged for weak external ESG evidence; requires further ESG due diligence.
PNC,Pnc Financial Services Group,Financial Services,0.8171,0.8381,0.4533,0.3748,0.6843,0.9222,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence; requires further ESG due diligence."
STT,State Street Corporation,Financial Services,0.5953,0.757,0.9767,0.3315,0.6805,0.9183,High priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
VLO,Valero Energy Corporation,Energy,0.6848,0.7441,0.9222,0.214,0.6794,0.9144,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
TSLA,"Tesla, Inc.",Consumer Cyclical,0.7276,0.7883,0.8463,0.1028,0.6758,0.9105,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
HBAN,Huntington Bancshares Inc,Financial Services,0.8949,0.6018,0.716,0.2559,0.6754,0.9066,High priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
